id,project_id,file_name,file_type,status
1,1,01951Earls-PHDCN-CommunitySurvey-Census-Homicide-Data.por,x-spss-por,FAILED_LOGIN_REQUIRED
2,1,01951Earls-PHDCN-CommunitySurvey-Census-Homicide-Data.tab,tab-separated-values,FAILED_LOGIN_REQUIRED
3,1,01951Earls-PHDCN-CommunitySurvey-CodebookAddendum.pdf,pdf,SUCCEEDED
4,1,01951Earls-PHDCN-CommunitySurvey-Codebook.pdf,pdf,SUCCEEDED
5,1,01951Earls-PHDCN-CommunitySurvey-IRBApproval.pdf,pdf,SUCCEEDED
6,1,01951Earls-PHDCN-CommunitySurvey-Main-Data.tab,tab-separated-values,FAILED_LOGIN_REQUIRED
7,1,01951Earls-PHDCN-CommunitySurvey-MemoOfAgreement.pdf,pdf,SUCCEEDED
8,1,01951Earls-PHDCN-CommunitySurvey-StudyDescription.pdf,pdf,SUCCEEDED
9,2,00583Barnes-Networks-BoxCoverSheets.pdf,pdf,SUCCEEDED
10,2,00583Barnes-Networks-Measures.pdf,pdf,SUCCEEDED
11,2,00583Barnes-Networks-MemoOfAgreement.pdf,pdf,SUCCEEDED
12,2,00583Barnes-Networks-PaperDataInventory.pdf,pdf,SUCCEEDED
13,2,00583Barnes-Networks-PaperData.pdf,pdf,FAILED_LOGIN_REQUIRED
14,2,00583Barnes-Networks-StudyDescription.pdf,pdf,SUCCEEDED
15,3,00079McClellan-Conflict-BoxCoverSheets.pdf,pdf,SUCCEEDED
16,3,00079McClellan-Conflict-Codebook.pdf,pdf,SUCCEEDED
17,3,00079McClellan-Conflict-DataFileList.pdf,pdf,SUCCEEDED
18,3,00079McClellan-Conflict-Data.por,x-spss-por,FAILED_LOGIN_REQUIRED
19,3,00079McClellan-Conflict-Data.tab,tab-separated-values,FAILED_LOGIN_REQUIRED
20,3,00079McClellan-Conflict-MeasuresForm.pdf,pdf,SUCCEEDED
21,3,00079McClellan-Conflict-Measures.pdf,pdf,SUCCEEDED
22,3,00079McClellan-Conflict-MemoOfAgreement.pdf,pdf,SUCCEEDED
23,3,00079McClellan-Conflict-PaperData.pdf,pdf,FAILED_LOGIN_REQUIRED
24,3,00079McClellan-Conflict-StudyDescription.pdf,pdf,SUCCEEDED
25,4,00621Baruch-Barnett-BoxCoverSheets.pdf,pdf,SUCCEEDED
26,4,00621Baruch-Barnett-CodebookAddendum.pdf,pdf,SUCCEEDED
27,4,00621Baruch-Barnett-Data.por,x-spss-por,FAILED_LOGIN_REQUIRED
28,4,00621Baruch-Barnett-Data.tab,tab-separated-values,FAILED_LOGIN_REQUIRED
29,4,00621Baruch-Barnett-MemoOfAgreement.pdf,pdf,SUCCEEDED
30,4,00621Baruch-Barnett-PaperDataInventory.pdf,pdf,SUCCEEDED
31,4,00621Baruch-Barnett-StudyDescription.pdf,pdf,SUCCEEDED
32,4,Baruch and Barnett - Women in the middle years.pdf,pdf,SUCCEEDED
33,5,00655Snarey-Israeli-BoxCoverSheets.pdf,pdf,SUCCEEDED
34,5,00655Snarey-Israeli-Measures.pdf,pdf,SUCCEEDED
35,5,00655Snarey-Israeli-MemoOfAgreement.pdf,pdf,SUCCEEDED
36,5,00655Snarey-Israeli-PaperDataInventory.pdf,pdf,SUCCEEDED
37,5,00655Snarey-Israeli-PaperData.zip,zip,FAILED_LOGIN_REQUIRED
38,5,00655Snarey-Israeli-StudyDescription.pdf,pdf,SUCCEEDED
39,6,00011Douglas-MinistersWives-BOX 01 OF 14.zip,zip,FAILED_LOGIN_REQUIRED
40,6,00011Douglas-MinistersWives-BOX 02 OF 14.zip,zip,FAILED_LOGIN_REQUIRED
41,6,00011Douglas-MinistersWives- BOX 03 OF 14.zip,zip,FAILED_LOGIN_REQUIRED
42,6,00011Douglas-MinistersWives-BOX 04 OF 14.zip,zip,FAILED_LOGIN_REQUIRED
43,6,00011Douglas-MinistersWives-BOX 05 OF 14.zip,zip,FAILED_LOGIN_REQUIRED
44,6,00011Douglas-MinistersWives- BOX 06 OF 14.zip,zip,FAILED_LOGIN_REQUIRED
45,6,00011Douglas-MinistersWives-BOX 07 OF 14.zip,zip,FAILED_LOGIN_REQUIRED
46,6,00011Douglas-MinistersWives-BOX 08 OF 14.zip,zip,FAILED_LOGIN_REQUIRED
47,6,00011Douglas-MinistersWives-BoxCoverSheets.pdf,pdf,SUCCEEDED
48,6,00011Douglas-MinistersWives-Measures.pdf,pdf,SUCCEEDED
49,6,00011Douglas-MinistersWives-MemoOfAgreement.pdf,pdf,SUCCEEDED
50,6,00011Douglas-MinistersWives-PaperDataInventory.pdf,pdf,SUCCEEDED
51,6,00011Douglas-MinistersWives-StudyDescription.pdf,pdf,SUCCEEDED
52,7,00660Avery-Critical-BoxCoverSheets.pdf,pdf,SUCCEEDED
53,7,00660Avery-Critical-Measures.pdf,pdf,SUCCEEDED
54,7,00660Avery-Critical-MemoOfAgreement.pdf,pdf,SUCCEEDED
55,7,00660Avery-Critical-PaperDataInventory.pdf,pdf,SUCCEEDED
56,7,00660Avery-Critical-PaperData.pdf,pdf,SUCCEEDED
57,7,00660Avery-Critical-StudyDescription.pdf,pdf,SUCCEEDED
58,8,00543Finney-Hawaii-Box 1 of 4.zip,zip,FAILED_LOGIN_REQUIRED
59,8,00543Finney-Hawaii-Box 2 of 4.zip,zip,FAILED_LOGIN_REQUIRED
60,8,00543Finney-Hawaii-Box 3 of 4.zip,zip,FAILED_LOGIN_REQUIRED
61,8,00543Finney-Hawaii-Box 4 of 4.zip,zip,FAILED_LOGIN_REQUIRED
62,8,00543Finney-Hawaii-Codebook.pdf,pdf,SUCCEEDED
63,8,00543Finney-Hawaii-Data.por,x-spss-por,FAILED_LOGIN_REQUIRED
64,8,00543Finney-Hawaii-Data.tab,tab-separated-values,FAILED_LOGIN_REQUIRED
65,8,00543Finney-Hawaii-Measures.pdf,pdf,SUCCEEDED
66,8,00543Finney-Hawaii-MemoOfAgreement.pdf,pdf,SUCCEEDED
67,8,00543Finney-Hawaii-RM2694 Finney,pdf,FAILED_LOGIN_REQUIRED
68,8,00543Finney-Hawaii-StudyDescription.pdf,pdf,SUCCEEDED
69,9,01016Barnett-DualEarners-Codebook.pdf,pdf,SUCCEEDED
70,9,01016Barnett-DualEarners-Measures.pdf,pdf,SUCCEEDED
71,9,01016Barnett-DualEarners-MemoOfAgreement.pdf,pdf,SUCCEEDED
72,9,01016Barnett-DualEarners-MergedData.por,x-spss-por,FAILED_LOGIN_REQUIRED
73,9,01016Barnett-DualEarners-MergedData.tab,tab-separated-values,SUCCEEDED
74,9,01016Barnett-DualEarners-StudyDescription.pdf,pdf,SUCCEEDED
75,9,01016Barnett-DualEarners-Wave1Data.por,x-spss-por,FAILED_LOGIN_REQUIRED
76,9,01016Barnett-DualEarners-Wave1Data.tab,tab-separated-values,SUCCEEDED
77,9,01016Barnett-DualEarners-Wave2Data.por,x-spss-por,FAILED_LOGIN_REQUIRED
78,9,01016Barnett-DualEarners-Wave2Data.tab,tab-separated-values,SUCCEEDED
79,9,01016Barnett-DualEarners-Wave3Data.por,x-spss-por,FAILED_LOGIN_REQUIRED
80,9,01016Barnett-DualEarners-Wave3Data.tab,tab-separated-values,SUCCEEDED
81,9,01016Barnett-DualEarners-Wave4Data.por,x-spss-por,FAILED_LOGIN_REQUIRED
82,9,01016Barnett-DualEarners-Wave4Data.tab,tab-separated-values,SUCCEEDED
83,9,1016Barnett-DualEarners-CodebookAddendum.pdf,pdf,SUCCEEDED
84,9,1016Barnett-DualEarners-PaperDataInventory.pdf,pdf,SUCCEEDED
85,10,00536Bailey-Burrell-ArtSci-Data.por,x-spss-por,FAILED_LOGIN_REQUIRED
86,10,00536Bailey-Burrell-ArtSci-Data.tab,tab-separated-values,FAILED_LOGIN_REQUIRED
87,10,00536Bailey-Burrell-Codebook,pdf,SUCCEEDED
88,10,00536Bailey-Burrell-Dental-Data.por,x-spss-por,FAILED_LOGIN_REQUIRED
89,10,00536Bailey-Burrell-Dental-Data.tab,tab-separated-values,FAILED_LOGIN_REQUIRED
90,10,00536Bailey-Burrell-Design-Data.por,x-spss-por,FAILED_LOGIN_REQUIRED
91,10,00536Bailey-Burrell-Design-Data.tab,tab-separated-values,FAILED_LOGIN_REQUIRED
92,10,00536Bailey-Burrell-Divinity-Data.por,x-spss-por,FAILED_LOGIN_REQUIRED
93,10,00536Bailey-Burrell-Divinity-Data.tab,tab-separated-values,FAILED_LOGIN_REQUIRED
94,10,00536Bailey-Burrell-Education-Data.por,x-spss-por,FAILED_LOGIN_REQUIRED
95,10,00536Bailey-Burrell-Education-Data.tab,tab-separated-values,FAILED_LOGIN_REQUIRED
96,10,00536Bailey-Burrell-Health-Data.por,x-spss-por,FAILED_LOGIN_REQUIRED
97,10,00536Bailey-Burrell-Health-Data.tab,tab-separated-values,FAILED_LOGIN_REQUIRED
98,10,00536Bailey-Burrell-Law-Data.por,x-spss-por,FAILED_LOGIN_REQUIRED
99,10,00536Bailey-Burrell-Law-Data.tab,tab-separated-values,FAILED_LOGIN_REQUIRED
100,10,00536Bailey-Burrell-MemoOfAgreement.pdf,pdf,SUCCEEDED
101,10,00536Bailey-Burrell-PaperDataInventory.pdf,pdf,SUCCEEDED
102,10,00536Bailey-Burrell.pdf,pdf,SUCCEEDED
103,10,00536Bailey-Burrell-StudyDescription.pdf,pdf,SUCCEEDED
104,10,BOX 1 OF 3-Dental School-Subjects 002-065.pdf,pdf,FAILED_LOGIN_REQUIRED
105,10,BOX 1 OF 3-Dental School-Subjects 002-065_searchable.pdf,pdf,FAILED_LOGIN_REQUIRED
106,10,BOX 1 OF 3-Dental School-Subjects 066-163.pdf,pdf,FAILED_LOGIN_REQUIRED
107,10,BOX 1 OF 3-Design School-Subjects 001-074.pdf,pdf,FAILED_LOGIN_REQUIRED
108,10,BOX 1 OF 3-Design School-Subjects 075-164.pdf,pdf,FAILED_LOGIN_REQUIRED
109,10,BOX 1 OF 3-Divinity School-Subject 001-078.pdf,pdf,FAILED_LOGIN_REQUIRED
110,10,BOX 1 OF 3-Divinity School-Subject 080-180.pdf,pdf,FAILED_LOGIN_REQUIRED
111,10,BOX 1 OF 3-Divinity School-Subject 182-261.pdf,pdf,FAILED_LOGIN_REQUIRED
112,10,BOX 1 OF 3-Education-Subjects 001-087.pdf,pdf,FAILED_LOGIN_REQUIRED
113,10,BOX 1 OF 3-Education-Subjects 088-184.pdf,pdf,FAILED_LOGIN_REQUIRED
114,10,BOX 1 OF 3-Education-Subjects 185-281.pdf,pdf,FAILED_LOGIN_REQUIRED
115,10,BOX 1 OF 3-Education-Subjects 282-395.pdf,pdf,FAILED_LOGIN_REQUIRED
116,10,Box 2 of 3-GSAS-Subjects 002-127.pdf,pdf,FAILED_LOGIN_REQUIRED
117,10,Box 2 of 3-GSAS-Subjects 129-236.pdf,pdf,FAILED_LOGIN_REQUIRED
118,10,Box 2 of 3-GSAS-Subjects 237-354.pdf,pdf,FAILED_LOGIN_REQUIRED
119,10,Box 2 of 3-GSAS-Subjects 355-471.pdf,pdf,FAILED_LOGIN_REQUIRED
120,10,Box 2 of 3-GSAS-Subjects 473-570.pdf,pdf,FAILED_LOGIN_REQUIRED
121,10,Box 2 of 3-GSAS-Subjects 571-670.pdf,pdf,FAILED_LOGIN_REQUIRED
122,10,Box 2 of 3-GSAS-Subjects 673-773.pdf,pdf,FAILED_LOGIN_REQUIRED
123,10,Box 2 of 3-GSAS-Subjects 774-870.pdf,pdf,FAILED_LOGIN_REQUIRED
124,10,Box 2 of 3-GSAS-Subjects 871-999.pdf,pdf,FAILED_LOGIN_REQUIRED
125,10,Law-Subjects 002-089.pdf,pdf,FAILED_LOGIN_REQUIRED
126,10,Law-Subjects 090-196.pdf,pdf,FAILED_LOGIN_REQUIRED
127,10,Law-Subjects 199-288.pdf,pdf,FAILED_LOGIN_REQUIRED
128,10,Law-Subjects 289-375.pdf,pdf,FAILED_LOGIN_REQUIRED
129,10,Law-Subjects 377-474.pdf,pdf,FAILED_LOGIN_REQUIRED
130,10,Law-Subjects 476-573.pdf,pdf,FAILED_LOGIN_REQUIRED
131,10,Public Health-All Subjects.pdf,pdf,FAILED_LOGIN_REQUIRED
132,11,00139Atchley-Longitudinal-CodebookAddendum.pdf,pdf,SUCCEEDED
133,11,00139Atchley-Longitudinal-Codebook.pdf,pdf,SUCCEEDED
134,11,00139Atchley-Longitudinal-Data.por,x-spss-por,FAILED_LOGIN_REQUIRED
135,11,00139Atchley-Longitudinal-Data.tab,tab-separated-values,FAILED_LOGIN_REQUIRED
136,11,00139Atchley-Longitudinal-Measures.pdf,pdf,SUCCEEDED
137,11,00139Atchley-Longitudinal-MemoOfAgreement.pdf,pdf,SUCCEEDED
138,11,00139Atchley-Longitudinal-StudyDescription.pdf,pdf,SUCCEEDED
139,12,00776Risman-Parenting-Codebook.pdf,pdf,SUCCEEDED
140,12,00776Risman-Parenting-Data.por,x-spss-por,FAILED_LOGIN_REQUIRED
141,12,00776Risman-Parenting-Data.tab,tab-separated-values,FAILED_LOGIN_REQUIRED
142,12,00776Risman-Parenting-Measures.pdf,pdf,SUCCEEDED
143,12,00776Risman-Parenting-MemoOfAgreement.pdf,pdf,SUCCEEDED
144,12,00776Risman-Parenting-StudyDescription.pdf,pdf,SUCCEEDED
145,13,00553Franklin-Women's-BoxCoverSheets.pdf,pdf,SUCCEEDED
146,13,00553Franklin-Women's-MemoOfAgreement.pdf,pdf,SUCCEEDED
147,13,00553Franklin-Women's-StudyDescription.pdf,pdf,SUCCEEDED
148,13,Section A-Females-F001-F017.pdf,pdf,FAILED_LOGIN_REQUIRED
149,13,Section A-Females-F018-F035.pdf,pdf,FAILED_LOGIN_REQUIRED
150,13,Section A-Females-F051-F067.pdf,pdf,FAILED_LOGIN_REQUIRED
151,13,Section A-Females-F068-F085.pdf,pdf,FAILED_LOGIN_REQUIRED
152,13,Section A-Females-F101-F115.pdf,pdf,FAILED_LOGIN_REQUIRED
153,13,Section A-Males-M001-M017.pdf,pdf,FAILED_LOGIN_REQUIRED
154,13,Section A-Males-M018-M035.pdf,pdf,FAILED_LOGIN_REQUIRED
155,13,Section A-Males-M051-M067.pdf,pdf,FAILED_LOGIN_REQUIRED
156,13,Section A-Males-M068-M085.pdf,pdf,FAILED_LOGIN_REQUIRED
