id,project_id,name,role
1,1,"Earls, Felton J.",AUTHOR
2,1,"Brooks-Gunn, Jeanne",AUTHOR
3,1,"Raudenbush, Stephen W.",AUTHOR
4,1,"Sampson, Robert J.",AUTHOR
5,2,"Barnes, Bonnie Mueller",AUTHOR
6,3,Honor E. McClellan,AUTHOR
7,4,Grace K. Baruch,AUTHOR
8,4,Rosalind C. Barnett,AUTHOR
9,5,"Snarey, John",AUTHOR
10,5,"Reimer, Joseph B.",AUTHOR
11,5,"Kohlberg, Lawrence",AUTHOR
12,6,William Douglas,AUTHOR
13,7,"Avery, Donna M.",AUTHOR
14,8,"Finney, Ruth Sutherlin",AUTHOR
15,9,"Barnett, Rosalind C.",AUTHOR
16,10,"Bailey, Susan McGee",AUTHOR
17,10,"Burrell, Barbara",AUTHOR
18,11,"Atchley, Robert C.",AUTHOR
19,12,"Risman, Barbara Jane",AUTHOR
20,13,"Franklin, Diane W.",AUTHOR
21,14,"Smith, Margaret T.",AUTHOR
22,15,"Kelly, E. Lowell (Deceased)",AUTHOR
23,16,"McAdoo, Harriette Pipes",AUTHOR
24,17,"Suarez-Orozco, Carola",AUTHOR
25,17,"Suarez-Orozco, Marcelo",AUTHOR
26,18,Cynthia Allen,AUTHOR
27,19,"Michelson, William M.",AUTHOR
28,20,"Barnes, Bonnie Mueller",AUTHOR
29,20,"Endicott, Jean",AUTHOR
30,21,"Ratliff, Elyse Sutherland",AUTHOR
31,22,"Lenore J. Weitzman,",AUTHOR
32,23,"Earls, Felton J.",AUTHOR
33,24,"Kellam, Sheppard",AUTHOR
34,24,"Ensminger, Margaret",AUTHOR
35,24,"Branch, Jeannette",AUTHOR
36,25,"Elias, Marjorie T.",AUTHOR
37,26,"McAdoo, Harriette Pipes",AUTHOR
38,27,"Bozett, Frederick W.",AUTHOR
39,28,"Bozett, Frederick W.",AUTHOR
40,29,"Brett, Belle",AUTHOR
41,29,"Elliott, Jane",AUTHOR
42,30,National Center for Education Statistics,AUTHOR
43,31,Henry A. Murray Research Center,AUTHOR
44,32,"Holtzman, Wayne H.",AUTHOR
45,33,"Belle, Deborah",AUTHOR
46,34,Correlates of War Project,AUTHOR
47,35,Aníbal Pérez-Liñán,AUTHOR
48,35,Juan Carlos Rodríguez-Raga,AUTHOR
49,36,"Newman, Katherine S.",AUTHOR
50,37,"Malley-Morrison, Kathleen",AUTHOR
51,38,"Schroedel, Jean Reith",AUTHOR
52,39,Mary Lindenstein Walshok,AUTHOR
53,40,"Lipman-Blumen, Jean",AUTHOR
54,41,"Stolz, Lois Meek",AUTHOR
55,42,"Mawardi, Betty Hosmer",AUTHOR
56,43,"Baruch, Grace K.",AUTHOR
57,44,Harvard-Radcliffe Child Care Council,AUTHOR
58,45,"Lopata, Helena Z.",AUTHOR
59,46,"Birnbaum, Judith",AUTHOR
60,47,"Taylor, Suzanne Saunders",AUTHOR
61,48,"Agbayani-Siewert, Pauline",AUTHOR
62,49,"Glueck, Sheldon",AUTHOR
63,49,"Glueck, Eleanor Touroff",AUTHOR
64,50,"Ross, Margaret C.",AUTHOR
65,51,"Walzer, Judith B.",AUTHOR
66,52,"Newberger, Carolyn Moore",AUTHOR
67,53,"Weissberg, Charlotte (Deceased)",AUTHOR
68,54,"Reid-Merritt, Patricia",AUTHOR
69,55,Rosalind C. Barnett,AUTHOR
70,55,Nancy L. Marshall,AUTHOR
71,56,"Angrist, Shirley S.",AUTHOR
72,56,"Almquist, Elizabeth M.",AUTHOR
73,57,"Baumrind, Diana",AUTHOR
74,58,Beverly Daniel Tatum,AUTHOR
75,59,Rose Laub Coser (Deceased),AUTHOR
76,59,Andrew Perrin (Designated Owner of the data),AUTHOR
77,60,Correlates of War Project,AUTHOR
78,61,Anibal Perez-Linan,AUTHOR
79,61,Andrea Castagnola,AUTHOR
80,62,David E. Lewis,AUTHOR
81,63,"Stoper, Emily",AUTHOR
