id,query_string,repository_id,repository_url,project_url,version,title,description,language,doi,upload_date,download_date,download_repository_folder,download_project_folder,download_version_folder,download_method
1,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/XFZOHL,1.2,"Project on Human Development in Chicago Neighborhoods: Community Survey, 1994 - 1995","The purpose of the Project on Human Development in Chicago Neighborhoods was to understand how families, schools, and neighborhoods affect child and adolescent development. This included an extensive undertaking on understanding the causes and the pathways of juvenile delinquency, adult crime, substance abuse, and violence. The Project had a focus on studying problematic behavior as well as an interest in social competence. The long-term objectives were to create knowledge that would inform violence prevention strategies and help develop better approaches to the promotion of social competence in children from infancy to young adulthood.
<br /><br />

The Project combined two studies into one comprehensive design. The first study was an intensive study of Chicago's neighborhoods including their social, economic, organizational, political, and cultural structures, and the changes that take place within these structures. This was achieved through data collection efforts at the community level, including a community survey of Chicago residents, interviews with neighborhood experts, systematic social observations involving block by block videotaping, and analyses of school, police, court and other agency records. The second study was a longitudinal cohort study involving seven randomly selected cohorts of children, adolescents, and young adults, looking at the changing circumstances of their lives and the personal characteristics that may lead them towards or away from a variety of antisocial behaviors.<br /><br />

PHDCN is comprised of five components: I-a longitudinal Study with an embedded intensive study of infants; II-a Community Survey; III-an Observational Study of Neighborhoods; IV-a Neighborhood Expert Survey; and V-Administrative data. Neighborhoods were operationally defined as 343 clusters of city blocks from Chicago's 847 populated census tracts.<br /><br />

The Community Survey is a multidimensional assessment by Chicago residents of their neighborhoods. The Survey evaluated the structural conditions and organization of neighborhoods in Chicago with respect to such critical dimensions as dynamic structure of the local community; the neighborhood organizational/political structure; cultural values; informal social control; formal social control; and social cohesion. The Survey consisted of household interviews with 8,782 Chicago residents aged 18 and older from all 343 neighborhood clusters. The NCs were constructed to be internally homogenous with respect to socioeconomic and ethnic mix, housing density, and family. Variables assessed included ""Social, Economic, and Demographic Structure"";""Organizational/Political Structure"";""Informal Social Control"";""Social Cohesion"";""Social Disorder""; and ""Cultural Structure"".",,10.7910/DVN/XFZOHL,2018-02-13,2026-04-20T23:15:21,harvard-murray-archive,10.7910_DVN_XFZOHL,v1.2,API-CALL
2,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/IGSLXU,2.2,"Getting Into Informal Networks: Interviews with Top Women in Management, 1980","This study was designed to explore the variety of situations women managers encounter in their corporate settings and the degree to which they are included in informal aspects of corporate life.<br /><br />

Data were obtained in 1980 through personal interviews with 20 women who were vice presidents in either banks or insurance companies in a large northeastern city. The participants were identified through two business directories.<br /><br />

The interview was unstructured and not standardized. It usually covered such areas as work history, educational level and concentration, further career aspirations, attitudes toward work, personal achievement, and women in business. In addition, participants were asked about the support systems and informal networks within the corporation.<br /><br />

The Murray Research Archive has typed transcripts of 19 taped interviews.",,10.7910/DVN/IGSLXU,2022-03-30,2026-04-20T23:15:32,harvard-murray-archive,10.7910_DVN_IGSLXU,v2.2,API-CALL
3,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/SGSPZR,3.2,"Women's Roles: Conflict, Compromise, or Fulfillment?, 1972","These data, collected in 1972, examine role conflicts experienced by a specific group of women, awareness among these women of their various roles, and the impact of participating in a course about women in the modern world -- especially with regard to women's roles.
<br /><br />  The sample consisted of female graduate students who participated in an intensive two-week workshop on women in the modern world offered by the Home Economics Department of Eastern Michigan University. Of the 25 women enrolled in the course, 21 voluntarily completed all of the instruments. A comparison group of 21 women who were taking graduate courses in education also completed the Attitudes Toward Women Survey, and the modified version of the Osgood's Semantic Differential. The Semantic Differential was also administered to 85 students in graduate education courses in Boston, MA.
<br /><br />  A questionnaire was distributed on the first day of the seminar. It was designed to assess demographic information, perceptions of personal roles, awareness of role conflicts, attitudes and values on a variety of other topics, and the current salience of these issues. A 27-item housekeeping checklist assessed ""division of labor"" in their homes.<br /><br />  Respondents were asked to complete Englehard's Attitudes Toward Women Survey, a questionnaire that assesses attitudes toward childrearing, discriminatory practices, education, and the nature of work appropriate for women. An additional questionnaire was administered to all subjects to assess their self-concept. A follow-up evaluation questionnaire was mailed to all of the respondents four months after the completion of the seminar. This included both open-ended and precoded items designed to collect additional background data on respondents, evaluation of the workshop, and the influences of the workshop on role satisfactions and feeling of role competence.
<br /><br />  At the conclusion of the workshop, 27 hours of the taped class discussion were transcribed. A rudimentary content analysis was performed by the investigator. The Murray Archive holds additional analogue materials for this study (paper data, audiotapes of workshop discussions). If you would like to access this material, please apply to use the data.  <br/><br /><b>Audio Data Availability Note:</b> This study contains audio data that have been digitized. There are 26 audio files available.",,10.7910/DVN/SGSPZR,2018-03-17,2026-04-20T23:15:40,harvard-murray-archive,10.7910_DVN_SGSPZR,v3.2,API-CALL
4,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/QIOGZF,2.5,"Women in the Middle Years, 1979-1980","The purpose of this study was to define psychological well-being in women aged 35 to 55, and to examine its relation to age, income, education, health, work, and family status.
<br /><br /> A disproportionate random sample (N=238) was selected to include women from the following four family statuses: never married, married with children, married without children, and divorced with children. All never married and divorced women were employed, as were about one-half of the married women. The employed women were equally distributed by occupational prestige (Siegel, 1971) into high, medium, and low groupings. Participants were all Caucasian, and were residents of a town in the greater Boston area. The response rate was 76%. Data were collected by personal interview.
<br /><br /> The structured survey instrument was developed empirically, based on content analysis of lengthy open-ended interviews about the rewarding and problematic aspects of the various domains of the participants' lives. These initial interviews are not available at the Murray Research Archive. The structured interviews comprised scales with equal numbers of ""reward"" and ""concern"" items for each domain covered. Major domains included work, marriage, homemaking, children, and the self. Income and health were also assessed. <br /><br />  The Murray Archive holds additional analogue materials for this study (paper interview data for 231 participants). If you would like to access this material, please apply to use the data.",,10.7910/DVN/QIOGZF,2018-03-17,2026-04-20T23:15:52,harvard-murray-archive,10.7910_DVN_QIOGZF,v2.5,API-CALL
5,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/BZFTDM,2.3,"Israeli Moral Development Study, 1969-1978","This longitudinal study of Israeli kibbutz adolescents was designed to evaluate the validity of Kohlberg's moral development model in a cross-cultural context and to assess cultural differences in moral reasoning. Since this study includes both female and male adolescents, it also provides a data base from which to examine the validity of Kohlberg's moral development stages for women's lives.
<br /><br />

The study was conducted in Israel. The 92 respondents were divided into four subsamples, each of which corresponded with a kibbutz cohort. The sample includes both city and kibbutz-born youth.<br /><br />

Data were collected in three waves. Participants were each interviewed once, twice, or three times between 1969 and 1978. Each participant responded to a series of moral dilemmas followed by a set of probing questions. The Kohlberg Moral Judgment Dilemmas used by the researchers included the Heinz Dilemma, the Officer Brown Dilemma, and the Joe Dilemma. The researchers also administered Kuhn's Cognitive Development Test (""The Plant Problem""). Each participant completed a basic data questionnaire which elicited information on the participant's family, religion, education, hobbies, and record of military service.<br /><br />

All interviews were conducted individually and were tape recorded and transcribed. The Murray Research Archive holds transcripts of the Moral Judgement Interviews for all 92 respondents.",,10.7910/DVN/BZFTDM,2022-04-08,2026-04-20T23:16:02,harvard-murray-archive,10.7910_DVN_BZFTDM,v2.3,API-CALL
6,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/X1BAWQ,3.1,"Ministers' Wives, 1959-1962","This study of women married to Protestant ministers examined various aspects of the wives' involvement in their husbands' vocation, and their own personal satisfaction and fulfillment as women, wives, and mothers.
<br /><br />  After four waves of pretesting, piloting, and refining the instruments (1959-1960), a 70-item self-administered questionnaire was mailed to 7,978 ministers' wives, a one-in-twenty cross section of the population from 37 Protestant denominations. Approximately 60% (4,777 women) returned completed instruments in 1961. The primarily precoded questionnaire covered such topics as present church and community activities of husband and wife; demographic, geographic, and financial information; attitudes toward and satisfaction with spouse; and social obligations and activities related and unrelated to the ministry.
<br /><br />  A second wave of data collected from 623 of these women included primarily open-ended responses on employment, home and family, personal growth and fulfillment, goals and values, and mental health. A third wave, with separate questionnaires for wives (N=411) and husbands (N=370), assessed values and goals, self and mate descriptions, pressure points, etc. The fourth and final wave evaluated patterns of involvement of husbands and wives (N=105). It examined priorities, frustrations, and satisfactions concerning church and family issues. Some of the third and fourth wave participants also completed the following standard measures: study of values, Myers-Briggs vocational inventory, Edwards Personal Preference Schedule, and Minnesota Multiphasic Personality Inventory (MMPI). A related study of seminarians was conducted in 1962-1963 (N=110). Instruments used included an MMPI, Edwards Personal Preference Schedule, Rotter Incomplete Sentences Blank, and a Role Definition instrument. The study, entitled the Pilot Project Seminary Study, attempted to define the needs of seminarians, their wives and families in order to develop a guidance manual.
<br /><br />  The Murray Research Archive holds most of the paper data from the four pilot studies, the four waves of data collection, and the related seminarians study.",,10.7910/DVN/X1BAWQ,2018-02-07,2026-04-20T23:16:11,harvard-murray-archive,10.7910_DVN_X1BAWQ,v3.1,API-CALL
7,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/JL6P0F,2.2,"Critical Events in the Lives of College-Educated Minority and White Women, 1979 and 1981","The purpose of these two studies was to determine the perceptions of major life transitions for women of different ethnic backgrounds, and the role of these perceptions in the formation of their identities as adult women.<br /><br />

The first sample included 36 black women and 64 white women. The second included 25 Mexican American women and 25 Puerto Rican women. The typical participant was in her late 30s to early 40s, employed in a professional or technical occupation or self-employed, and college educated. She also combined the roles of wife and mother.<br /><br />

In 1979 and 1981, the participants in both studies were asked to identify and describe those critical events or turning points in their past lives that they believed had made a difference in their present identity as adult women. The Critical Events Interview format was used to organize the participants' descriptions of various dimensions of the events such as associated thoughts and feelings, coping strategies, factors related to the resolution of the events, and sources of support or frustration associated with the events. The critical event was used as the unit of analysis.<br /><br />

The Murray Center has typed transcripts of over 800 single critical events from the 150 participants, as well as demographic information for the Latina sample.",,10.7910/DVN/JL6P0F,2022-04-08,2026-04-20T23:16:21,harvard-murray-archive,10.7910_DVN_JL6P0F,v2.2,API-CALL
8,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/DWUIWL,4.3,"Self-employed Women in Hawaii: Their Work and Family Lives, 1977-1979","This study examined the characteristics of the business careers and family lives of self-employed women in Hawaii. Participants in this study were 230 self-employed women. The sample represented both business owners and those in the agricultural sector, and included women from a variety of ethnic backgrounds. Participants were located through business directories, women's professional organizations, the Yellow Pages, and professional networks.

<br /><br />Data collection began in 1977 and extended through 1979. Researchers initially contacted participants by phone. Personal, semistructured interviews which lasted between one and five hours were taped and transcribed. Researchers also kept written notes on copies of the interview protocol.

<br /><br />In addition to the usual areas explored in entrepreneurship studies (e.g., motivation, capital, background factors, etc.), the study addressed the women's views about combining business and family life, their problems and coping strategies at different life-cycle stages, and what they wanted to learn from and teach to each other about their business and family lives.

<br /><br />The Murray Research Archive holds all original record paper data, numeric file data, and audiotaped interviews.  <br/><br /><b>Audio Data Availability Note:</b> This study contains audio data that have been digitized. There are 361 audio files available.",,10.7910/DVN/DWUIWL,2022-03-09,2026-04-20T23:16:35,harvard-murray-archive,10.7910_DVN_DWUIWL,v4.3,API-CALL
9,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/YWFANY,5.2,"Longitudinal Study of Dual-Earner Couples, 1989-1992","The main purposes of the study were to assess the contribution of subjective experience in three major social roles (i.e. worker, partner, and parent) to stress-related mental and physical health problems in a sample of dual-earner couples and to study the effect of gender on these relationships. This sample was chosen for study because of wide-spread concern that full-time employed dual-earner couples were under extreme stress and at risk for high levels of distress.
<br /><br /> The sample consisted of 300 couples drawn randomly from the town lists of two communities in the greater Boston metropolitan area. These towns were selected because they were socio-economically diverse and included a large proportion of working women. Most subjects, male and female, were employed in managerial or professional occupations. Though the level of education ranged widely, most subjects had earned a college degree. The population of these towns is overwhelmingly White, as is the sample for this study. <br /><br /> This was a short-term longitudinal study with three data collections over a two-year period. At each data collection, subjects were interviewed separately in their homes or offices. Interviews covered many aspects of the men and women's lives, including their experiences in their job and family roles, as well as measures of psychological distress. Prior to each interview, participants completed a questionnaire which was mailed back to the researchers. Subjects also completed several handouts during the interview. The scales measured mental and physical health, as well as the rewards of or concerns about the subjects' separate roles as employee, partner, and parent. A seven-page optional questionnaire requesting follow-up information on employment, psychological, and physical health was mailed in November, 1992 and was returned by 76% of the subjects.
<br /><br /> The Murray Archive holds additional analogue materials for this study. If you would like to access this material, please apply to use the data.",,10.7910/DVN/YWFANY,2018-02-07,2026-04-20T23:16:44,harvard-murray-archive,10.7910_DVN_YWFANY,v5.2,API-CALL
10,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/G40YID,2.3,"Alumnae Study: Graduate and Professional Schools at Harvard University, 1979","This study gathered information on the career development, family responsibilities, and professional standing of graduates from seven Harvard University graduate and professional schools: the Graduate School of Arts and Sciences, Dental Medicine, Design, Divinity, Education, Law, and Public Health. All degree recipients from the class of 1972 at each school were surveyed, with additional participants from the Dental School classes of 1968-1978, and the Divinity School classes of 1974 and 1976. Data were collected by means of a mailed questionnaire in the spring of 1979. Of the 3,000 eligible degree-holders, a total of 1,620 or 63% responded, including 1,255 men and 365 women.<br /><br />

Variables assessed from the questionnaire included educational background, employment history, career goals and job satisfaction, children and child-care arrangements, partner's work, and evaluations of one's own education and career as compared to other male and female colleagues. Nadelson and Notman's study of medical school alumnae (see <a href=""https://doi.org/10.7910/DVN/4YM40I"" target=""_blank"">Log# 00629</a>) included many similar questions.<br /><br />

The Murray Archive holds additional analogue materials for this study. If you would like to access this material, please apply to use the data.",,10.7910/DVN/G40YID,2022-02-22,2026-04-20T23:17:07,harvard-murray-archive,10.7910_DVN_G40YID,v2.3,API-CALL
